fastspring,Feb 6,5,Brunch söndag,"Härlig söndags brunch med musik, fullbokat men trots det inte stökigt utan gick att prata . Liveband spelade helt lagom högt.  Går gärna hit igen. Stor variation på mat och dryck . Kan beställa omelett som hörs på plats eller göra egna våfflor.  ","Response from GrandHoteLund, Receptionist at Grand Hotel LundResponded 4 days ago",Responded 4 days ago,"Kära fastspring,  Stort tack för ditt omdöme och dina fina ord. Det gläder oss att du hade en sån fin upplevelse hos oss. Vi ser fram emot att få välkomna dig till Grand Hotel snart igen!  Önskar dig en underbar dag!  Med vänliga hälsningar, Katarina  ",Date of stay: February 2019,"[All, languages]",493
Magnussontommy,Aug 2015,4,Sober stil och proffsigt bemötande i alla led,Fin atmosfär med bra service och utbud. Bra frukost och välstädade rum. Inga problem att låna laddare till varken padda eller mobil. Vaken och lite extra service på den välfyllda after worken. Härligt klassiskt ställe.,"Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Sep 1, 2015","Responded Sep 1, 2015","Bäste Tommy -  Stort tack för dina vänliga ord. Jag önskar dig varmt välkommen tillbaka till Grand Hotel.  Med vänlig hälsning, Björn Gustavsson Receptionschef",Date of stay: August 2015,"[All, languages]",493
Anthony F,Aug 2015,5,Attending a wedding in Lund,"The Grand Hotel Lund was chosen as the wedding venue and one of the hotels for a wedding we attended this July with our family. Although Sweden was more expensive than the other countries we visited during our summer vacation, this hotel was incredible. Check-in was very quick…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Aug 30, 2015","Responded Aug 30, 2015","Dear Anthony -  Thank you for your kind review and for recommending Grand Hotel.  I hope that future gatherings of family and friends will bring you back to Lund.  Kind regards, Björn Gustavsson Front Desk Manager",Date of stay: July 2015,"[All, languages]",493
Joy J,Aug 2015,5,Elegant hotel with service to match!,"This is a lovely old hotel which has retained the ethos of excellent customer service through charming ,well trained staff at all levels.Although old world in style our room lacked nothing in modern convenience ( except perhaps air- con ) & the Nespresso machine on each landing…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Aug 23, 2015","Responded Aug 23, 2015","Dear Joy -  Many thanks for your lovely review of the Grand Hotel.  Kind regards, Björn Gustavsson Front Desk Manager",Date of stay: August 2015,"[All, languages]",493
Kristina S,Aug 2015,5,Lyxig trivsel,"Vi fick bo en natt i ett av tornrummen. Wow, vilket rum. Kändes väldigt lyxigt. Faktiskt så bra att man bara ville stanna kvar på rummet. Frukosten är en av de bästa vi har fått på ett hotell. Mycket trevligt att få se från vilken gård alla produkter kommer.","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Aug 23, 2015","Responded Aug 23, 2015","Bästa SolnaKst -  Tack för att du delar med dig av din positiva upplevelse. Jag hoppas du återvänder till Grand Hotel snart igen.  Med vänlig hälsning, Björn Gustavsson Receptionschef",Date of stay: August 2015,"[All, languages]",493
jfl842,Aug 2015,5,Le charme d'antan et un excellent petit déjeuner,"Plein de charme pour ce Grand Hotel situé à deux pas du centre historique de Lund. Belle bâtisse, escalier majestueux, vitraux et boiseries, tout ceci n’empêche pas de disposer de salle de bains rénovées mais classiques et de TV à écran plat et de wifi efficace. La déco des…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Aug 17, 2015","Responded Aug 17, 2015","Dear Jean-Francois,  My colleagues and I are very grateful for your kind words about the Grand Hotel.  Kind regards, Björn Gustavsson Front Desk Manager",Date of stay: August 2015,"[All, languages]",493
Johan H,Jul 2015,5,Genuin omtänksam service i anrik miljö,Stort tack för ett proffsigt och trevligt bemötande. Vi upplevde en genuin värme och kände oss mycket väl omhändertagna trots att vi bara stannade en natt. Stort plus för framdukad frukost trots tidig avresa. Anrika rum med hög klass och restaurang med mycket god mat och dryck.,"Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Aug 17, 2015","Responded Aug 17, 2015","Bäste Johan -  Tack själv för att du valde Grand Hotel och dessutom berättar om din positiva upplevelse.   Med vänlig hälsning, Björn Gustavsson Receptionschef",Date of stay: July 2015,"[All, languages]",493
AnoopPV,Jul 2015,4,Charming hotel in a great location,"The Grand Hotel is situated very close to the Lund Central Station - less than 200 metres from the exit! Very nice hotel from old times, maintained elegantly and keeping pace with time.  Staff at front desk were warm, welcoming and service oriented. Check-in was quick and room…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Aug 17, 2015","Responded Aug 17, 2015","Dear AnoopPV -  Thank you for your kind review. I am very happy that Grand Hotel will be your first choice the next time you visit Lund.   Kind regards, Björn Gustavsson Front Desk Manager",Date of stay: July 2015,"[All, languages]",493
judiko,Jul 2015,5,Excellent hotel and staff,we have stayed here several times and the hotel does not dissatisfy in any way. Since last year however they seem to have adjusted their wifi access and it is less reliable than before. Only one young male waiter at breakfast seemed a little tired/discontent with his job but…,"Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Aug 18, 2015","Responded Aug 18, 2015","Dear Judiko -  Thank you very much for being a loyal patron - I hope that you will return to the Grand soon again.  Good news is that the initial teething problems with our updated WiFi are now solved.  Kind regards, Björn Gustavsson Front Desk Manager",Date of stay: July 2015,"[All, languages]",493
mouth_of_flowers,Jul 2015,4,Old style in every sense,"It's hard not to like the Grand Hotel, it really is a little slice of the past. But that also means it comes with rooms without air conditioning and slow lifts and old fashioned fixtures and fittings. That said, the room was clean and with plenty of elegance.","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Aug 18, 2015","Responded Aug 18, 2015","Dear Mouth_of_flowers -  It's great to know that you like us! I hope you return soon again.   Kind regards, Björn Gustavsson Front Desk Manager",Date of stay: July 2015,"[All, languages]",493
Deirdre C,Jul 2015,5,Old World Elegance,"We spent just one night in Lund at the Grand Hotel, but it was a wonderful decision to stay there. It was like stepping back in time to Old World Elegance. The hotel is beautifully decorated as a Grand Hotel, the staff were very courteous and helpful. The Interior was exquisite,…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Aug 10, 2015","Responded Aug 10, 2015","Dear Deirdre -  Thank you for your kind comments about the Grand. My colleagues and I hope that you will return soon again for a longer stay.  Kind regards, Björn Gustavsson Front Desk Manager",Date of stay: June 2015,"[All, languages]",493
stevie2006,Jul 2015,5,An Excellent Saty,"The Grand is a beautiful building with lots of tradition, character and a unique atmosphere. The staff were all really great and helpful. The bar atmospheric and the breakfast really good. Lund itself is a lovely town and the building is located on a pretty square.","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Aug 10, 2015","Responded Aug 10, 2015","Dear Stevie -  Thank you for your kind words. I hope to see you back at the Grand soon again.  Kind regards, Björn Gustavsson Front Desk Manager",Date of stay: June 2015,"[All, languages]",493
Babbully,Jul 2015,4,En natt i juli - gammaldags och tjusigt,"Hotellet är oerhört charmigt i genuin gammal stil med fantastiska gästvåningar lämpliga för fester och jubileer. Det akademiska Lund står i fokus. Vi fick det rum vi ville ha, ett vackert hörnrum. Sköna sängar och  kuddar. Bra frukost. Bästa hotellet i Lund, några få minuter…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Aug 10, 2015","Responded Aug 10, 2015","Bäste Babbully -  Tack för din trevliga recension av Grand Hotel - vi hoppas få välkomna dig tillbaka snart igen.  Finjusteringen av vårt uppgraderade trådlösa nätverk är avklarat och vi kan nu erbjuda våra gäster riktigt bra WiFi utan kostnad.  Med vänlig hälsning, Björn Gustavsson Receptionschef",Date of stay: July 2015,"[All, languages]",493
Rosa R,Jun 2015,3,Sieht auf dem Prospekt nach mehr aus als es ist.,Sieht auf dem Prospekt nach mehr aus als es ist. 	 Das Hotel hat einen gewissen Charme vom Alter her. Die Zimmer wurden zum Teil auch neu gemacht und von da her fällt der Charme nur noch auf das Treppenhaus und die Fassade.  Die Parkanlage ist mehr ein öffentlicher Park.  Im…,"Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Jun 21, 2015","Responded Jun 21, 2015","Dear Rosa R -  Thank you for your kind review and your positive comments about our level of service.  I am concerned that you were not fully satisfied with all aspects of our hotel. We constantly strive to improve and I am most grateful if you would share your thoughts with me in more detail.  Kind regards, Björn Gustavsson Front Desk Manager bjorn.gustavsson@grandilund.se",Date of stay: June 2015,"[All, languages]",493
MarkusNilsson,Jun 2015,4,En favorit som andas historia,Ett gammal hederligt grand hotell med lång historik. Rummen hade inte mått dåligt av en finputs men inte mer än att det är charmigt slitet. Personalen alltid tillmötesgående och trevliga. Passa på när det finns specialerbjudande med middag ingående så får ni en…,"Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Jun 21, 2015","Responded Jun 21, 2015","Bäste Markus -  Tack för din recension - det gör mig glad att du trivs på Grand Hotel!  Med vänlig hälsning, Björn Gustavsson Receptionschef",Date of stay: February 2015,"[All, languages]",493
Claus B,Jun 2015,4,Traditional style central hotel in Lund,"The Grand in Lund is a very wonderful old-stylish with an aura of the ages of past glory and grandiousness. The staff is very helpful and professional - top score! The breakfast is very good with lot of ecological, local high quality breakfast dishes and a chef to cook omelets…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Jun 21, 2015","Responded Jun 21, 2015","Dear Claus B -  Thank you for your kind comments about the atmosphere and level of service at the Grand Hotel.  I agree with you that the single classic rooms on the fourth floor are fairly small. As you mention it can be worth to upgrade to a deluxe room for even more space and comfort.  I hope to see you back again in our hotel in the not too distant future.  Kind regards, Björn Gustavsson Front Desk Manager",Date of stay: May 2015,"[All, languages]",493
ehelgason,Jun 2015,5,Like a dignified queen,"This is such a lovely place full of old world Swedish charm. The rooms have high ceilings, beautiful wallpaper and big windows. The restaurant is stunning, with crystal chandeliers and waiters in beautiful clothes. The food is very good - again very Swedish. The staff is…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Jun 2, 2015","Responded Jun 2, 2015","Dear Ehelgason -  Many thanks for your very kind words!  Kind regards, Björn Gustavsson Front Desk Manager",Date of stay: May 2015,"[All, languages]",493
Mjoh17,May 2015,5,Exceptional staff!!!,"What a beautiful hotel! Stayed here for two nights and have many great things to say!  After checking in, I had some concerns with the room and went to address the concerns with the front deal staff - their response was wonderful! They heard the concerns and quickly dissolved…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Jun 2, 2015","Responded Jun 2, 2015","Dear Melanie -  Thank you for your very nice comments about Grand Hotel.   I do hope that you will return soon again. Then we must make sure that you get to enjoy dinner in one of our restaurants.  Kind regards, Björn Gustavsson Front Desk Manager",Date of stay: May 2015,"[All, languages]",493
Enemess,May 2015,4,"Grand Hotel, Great Service, Good Location","Booked my stay as part of a business trip and liked the look of the hotel from the website. Was not disappointed when I arrived. Really close to the station, which itself is only a short journey from Copenhagen Airport.   Hotel was very good overall, with really great, friendly…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Jun 2, 2015","Responded Jun 2, 2015","Dear Enemess -  Thank you for your kind review and positive feedback about our facilities and staff.  I am grateful for your comments on what we can improve further - I will look into the issues you raised.   Kind regards, Björn Gustavsson Front Desk Manager",Date of stay: May 2015,"[All, languages]",493
Allison K,May 2015,5,Enjoyed our stay!,"We stayed this past weekend for a wedding, and I have no complaints about the hotel. Everyone we met was very welcoming, and all of the spaces were very clean. The room was certainly small, but it didn't matter to us as we didn't spend very much time in the room. The room was…","Response from Bjorn_Gustavsson, Front Office Manager at Grand Hotel LundResponded Jun 2, 2015","Responded Jun 2, 2015","Dear Allison -  Thank you for your kind words about the Grand Hotel.   I hope that you will return soon again. For a small charge you can upgrade to a larger deluxe room if you plan to spend more time in your room.  Kind regards, Björn Gustavsson Front Desk Manager",Date of stay: May 2015,"[All, languages]",493
