,a,b,c,d,e,f,cite
2649,2016,330,""" Ratchaprasong is alive""-Bangkok's Decentered Spaces of Security and Public Performance","E Haanstad - Internationales Asienforum, 2016 - crossasia-journals.ub.uni-heidelberg …","… In anatomy a chiasm depicts the intertwining of two tracts or strands and in genetics it depicts
the cross- shaped point of contact during meiosis.2 Within one strand of this urban vitality, new
scenes of street vending, sidewalk performance and other political phenomena emerged … 
",  Related articles All 4 versions  View as HTML ,0
2648,2016,330,"Bridging Theories, William H. Whyte and the Sorcery of Cities","M Fitzpatrick - Architecture and Culture, 2016 - Taylor & Francis","… Cities, through some mix of enchantment, exert a magnetic attraction. Yet their fascination is
difficult to pin down on any laboratory table, hence “sorcery” in the title of this essay, which
describes how Whyte pinned down a few specifics for the benefit of urban vitality … 
",  Related articles  ,0
2646,2016,330,[PDF][PDF] THE PARKING GENERATION AT SUPERMARKETS AND ITS INFLUENCE ON PLANNING,"M Růžička, D Marčev, D Topol - 2016.tae-conference.cz","… 547- 574. 20. SHOUP, DC: Cruising for parking. Transport Policy, Volume 13, Issue 6, November
2006, Pages 479-486, 21. Still, B., Simmonds,D.: Parking restraint policy and urban vitality.
Transport Reviews 20(3), 2000, pp. 291–316. 22. SUSTRANS, 2006 … 
",  Related articles  View as HTML ,0
3568,2018,361,[BOOK][B] Searching for New Frontiers: Hollywood Films in the 1960s,R Worland - 2018 - books.google.com,"Page 1. Searching for New Frontiers offers film students and general readers a survey
of popular movies of the 1960s. The author explores the most important modes of filmmaking
in times that were at once hopeful, exhilarating, and daunting … 
",  Related articles All 2 versions  ,0
3564,2018,361,[BOOK][B] Ostlänken och hållbar regional utveckling: förstudie med utgångspunkt i erfarenheter av höghastighetsjärnväg i EU,"B Hermelin, S Gustafsson - 2018 - diva-portal.org","Page 1. Ostlänken och hållbar regional utveckling - förstudie med utgångspunkt i erfarenheter
av höghastighetsjärnväg i EU Brita Hermelin och Sara Gustafsson CENTRUM FÖR
KOMMUNSTRATEGISKA STUDIER Rapport 2018: 6 ar Page 2. Ostlänken och hållbar … 
",  Related articles  View as HTML ,0
2692,2016,330,Infrastructural Affinity: Film Technology and the Built Environment in New York circa 1900,"BR Jacobson - Framework: The Journal of Cinema and Media, 2016 - JSTOR","… moving-picture theater. But wasn't it already there in 1896? Was it not this urban
vitality—this spark of change—that was on their minds? By the turn of the century such
sparks had helped define cinema's early iconography. A 1901 … 
",  Related articles All 4 versions  ,0
3561,2018,361,[PDF][PDF] LAND FOR FOOD,I Weichold - U&U-GHENT - academia.edu,"Page 113. 113 LAND FOR FOOD The Interaction of Urban Planning and Regional Food Planning
Ivonne Weichold Affiliation University of Luxembourg Institute of Geography, Spatial planning
and Architecture Supervisor Prof. Florian Hertweck, University of Luxembourg Prof … 
",  Related articles  View as HTML ,0
3562,2018,361,[PDF][PDF] Veřejný prostor–revitalizace náměstí města–Komenského náměstí v obci Zásmuky,A Vrabcová - 2018 - dspace.vsb.cz,"Page 1. Vysoká škola báňská – Technická univerzita Ostrava Fakulta stavební Katedra městského
inženýrství Veřejný prostor – revitalizace náměstí města – Komenského náměstí v obci Zásmuky
Public space – revitalization of the town square – Komenského square in the … 
",  Related articles  View as HTML ,0
3563,2018,361,Bevara eller utveckla?: En fallstudie i hur kommuner hanterar kulturmiljöer i en tid av förtätning,"G Borden, A Lillieborg - 2018 - diva-portal.org","Page 1. BEVARA ELLER UTVECKLA? En fallstudie i hur kommuner hanterar kulturmiljöer i en
tid av förtätning GABRIELLA BORDEN & AXEL LILLIEBORG Institutionen för Fysisk Planering
Page 2. 1 Författare: Gabriella Borden och Axel Lillieborg Titel: Bevara eller utveckla … 
",  All 2 versions  View as HTML ,0
2685,2016,330,Big Philanthropy Takes the Bus,"B Ross - Dissent, 2016 - muse.jhu.edu","… As the United States learned in the Robert Moses era, transportation solutions that are imposed
top down tend to come at the expense of urban vitality. To prepare for the 2014 World Cup and
2016 Olympics, Rio de Janeiro scrambled to build the Transcarioca busway … 
",   ,0
3508,2018,361,"God's waiting room: The rise and fall of South Beach as an unplanned retirement community, 1950–2000","KD Revell - Journal of aging studies, 2018 - Elsevier","… 2009). More important still for local government, the health of urban retailing has a
significant impact on a city's fiscal fortunes, affecting both property values and tax
revenues, in addition to influencing perceptions of urban vitality … 
",  Related articles All 4 versions  ,0
3506,2018,361,Kajian Vitalitas Lingkungan Kawasan Ruko. Studi Kasus: Komplek Ruko Asia Mega Mas Medan,AF Pohan - 2018 - repositori.usu.ac.id,"Page 1. Universitas Sumatera Utara Repositori Institusi USU http://repositori.usu.ac.id Departemen
Arsitektur Tesis Magister 2018 Kajian Vitalitas Lingkungan Kawasan Ruko. Studi Kasus: Komplek
Ruko Asia Mega Mas Medan Pohan, Ahmad Fadil Universitas Sumatera Utara … 
",  Related articles  View as HTML ,0
3442,2018,364,[PDF][PDF] Kluczowe koncepcje kształtujące współczesne miasto,"M Janiszek - Studia KPZK, 2018 - czasopisma.pan.pl","… The Journal of Development Studies, t. VIII. Landry C., 2000, Urban Vitality: A New
Source of Urban Competitiveness, ARCHIS, 12: 8-13 … Studia Eduka- cyjne, nr 3:
43-59. Montgomery J., 1995, Urban Vitality and the Culture of Cities … 
",  Related articles All 6 versions  View as HTML ,0
2749,2016,329,Detailed Table Of Contents,"L Crespi - Design Innovations for Contemporary Interiors and …, 2016 - books.google.com","… Air pollution and Indoor Air Quality (IAQ) are identified as key indicators of urban vitality
and quality. Performance driven design and healthy IAQ solutions are highlighted as
decisive drivers towards regenerative urban environments … 
",  Related articles  ,0
2748,2016,329,The Quantitative and Qualitative Impacts of Brownfield Policies in England,"RC Hula - Reclaiming Brownfields, 2016 - taylorfrancis.com","… Proponents of more compact cities argued that high- density, mixed-use living enhances
sustainability because it reduces car use and pollution, leads to urban vitality, encourages social
interaction, provides support for the local economy and facilities, and diverts development … 
",  Related articles  View as HTML ,0
3460,2018,364,[HTML][HTML] Quality of life in a “high-rise lawless slum”: A study of the “Kowloon Walled City”,"LKP Lau, WCL Lai, CWD Ho - Land use policy, 2018 - Elsevier","Skip to main content Skip to article … 
",  Related articles All 7 versions  ,0
2744,2016,329,"AN ALTERNATIVE TO TRADITIONAL SPRAWL DEVELOPMENT: A Look at Mixed-use Developments in Tucson, Arizona",N Freeman - 2016 - repository.arizona.edu,"… problems as it was “repeated mechanically” in cities such as “congestion, pollution, urban sprawl,
workplace-residence separation, and the loss of urban vitality,” (Kong et al., 2015). Mixed use
development as a planning concept “focuses on creating urban core areas where … 
",  Related articles  View as HTML ,0
2743,2016,329,CENTRO E CENTRALIDADE URBANA: O EXEMPLO DO CALÇADÃO DE BANGU (RIO DE JANEIRO),MR de Oliveira - Anais do Seminário de Estudos Urbanos e … - periodicos.ufpel.edu.br,"… role exercised by the Cônego de Vasconcelos Avenue, popularly known as pedestrian street
of Bangu, located in Bangu, neighborhood located in the western area of the city of Rio de Janeiro,
in the formation and/or maintenance of the centrality and of urban vitality of the … 
",  Related articles  View as HTML ,0
3466,2018,364,[PDF][PDF] ALS JE MAAR GEZOND BENT…,L den Broeder - pure.hva.nl,"… 22 4.2 Urban vitality 23 … 4.2 Urban vitality Voor onderzoekscentrum ACHIEVE is het speerpunt
Urban Vitality de tweede grote onderzoekslijn. Urban Vitality draagt bij aan 'een stad waar
bewoners gezond leven, voor elkaar zorgen en zelfstandig participeren' … 
",  Related articles All 3 versions  View as HTML ,0
2751,2016,329,[PDF][PDF] Kracht van Sport Lectorale rede,MB de la Faille-Deutekom - inholland.nl,"… kunnen bieden. Bij alle vier genoemde onderzoeksfuncties staat het brede
professionele terrein van het Inholland thema De Gezonde Samenleving en het
speerpunt Urban Vitality van de Hogeschool van Amsterdam centraal. Het … 
",  Related articles All 3 versions  View as HTML ,0
3444,2018,364,[PDF][PDF] Bewegen van eigen zekerheid naar gedeeld vertrouwen,"SPJ Ramaekers, PJ Stephan - 2018 - pure.hva.nl","Page 1. Amsterdam University of Applied Sciences Bewegen van eigen zekerheid naar gedeeld
vertrouwen Ramaekers, SPJ Link to publication Citation for published version (APA): Ramaekers,
DSPJ (2018). Bewegen van eigen zekerheid naar gedeeld vertrouwen … 
",  Related articles All 3 versions  View as HTML ,0
2760,2016,329,[PDF][PDF] ULAŞIMDAN KÜLTÜRE BİR DEĞİŞİM: UŞAK TREN İSTASYONU,"N Koçan, BÜOFP Mimarlığı - IMUCO 2016, 2016 - researchgate.net","… Kaya E., Şentürk H., Danış O., Şimsek S. 2007,“Kent-Kentleşme ve Kent Yönetimi, Modern Kent
Yönetimi-1”, s. 7-134, Okutan Yayıncılık, İstanbul. Montgomery J. 1995,“Urban Vitality and The
Culture of Cities Planning”, Practice-Research, 10 (2), s. 101–109.
",  Related articles All 2 versions  View as HTML ,0
2757,2016,329,Kültürel Miras ve Koruma Bağlamında Uşak Tarihi Kent Merkezi Yayalaştırma Projesi,N KOÇAN - Uluslararası Kültürel ve Sosyal Araştırmalar Dergisi … - dergipark.org.tr,"… İstanbul. Montgomery J. 1995. Urban Vitality and The Culture of Cities Planning.
Practice-Research, 10(2), s.101–109. Mosler, SU, 2007, Kültürel Mirasın Peyzaj İçinde Algılanması
ve Kültürel Mirasın Peyzaj Planlaması ve Korunması, Peyzaj Mimarlığı 3. Kongresi, Sy:65-71 … 
",  Related articles  View as HTML ,0
3452,2018,364,A Study on the Relationship of Spatial Planning Aspects in Occurrence of Street Crimes in Dhaka City,"U Chowdhury, I Islam - Nakhara: Journal of Environmental Design and …, 2018 - tci-thaijo.org","… She argued that the circulation of people and appreciation of public space are crucial
elements to the urban vitality and indicated that informal (natural) surveillance
(”eye on the street”) is a good deterrent to criminal activity … 
",  Related articles All 3 versions  View as HTML ,0
3455,2018,364,[PDF][PDF] The Measurement of Livability of Historical and Modern Commercial Spaces In the city of Tabriz (Case Study: Tabriz Historic Bazaar and Crystal Tower),"L Rahimi, F Jafari - 2018 - sppl.ui.ac.ir","Page 1. Vol. 7, No. 4, Ser (27)‎2018 The Measurement of Livability of Historical and
Modern Commercial Spaces In the city of Tabriz (Case Study: Tabriz Historic Bazaar
and Crystal Tower) Leilla Rahimi 1, Firouz Jafari *2 1- Assistant … 
",  All 3 versions  View as HTML ,0
3458,2018,364,[HTML][HTML] 基于夜光遥感与 POI 数据空间耦合关系的南海港口城市空间结构研究,"于丙辰， 刘玉轩， 陈刚 - 地球信息科学学报, 2018 - dqxxkx.cn","欢迎光临地球信息科学学报期刊网 … 
",  All 7 versions  Cached ,0
3467,2018,364,"Preservation Park and themescape economics in Oakland, California","N Sikand-Youngs - European Journal of American Culture, 2018 - ingentaconnect.com","… Such thinking persisted in the post-war period, in which the city was 'envisioned […] as a verdant,
interconnected garden that combined suburban growth and urban vitality' to return to Robert
Self's study of the 'industrial-garden' model (2003: 1). Self's work shows that a low-rise … 
",  Related articles All 2 versions  ,0
3487,2018,364,Tourism: A Knowledge-Based Activity,"J Romão - Tourism, Territory and Sustainable Development, 2018 - Springer","… The potential of tourism for urban development is also analyzed by UNWTO (2012), stressing
that cities can offer diverse and flexible tourism products and services, while tourism can promote
urban vitality and dynamism, contribute for a renewed urban landscape, enhance … 
",  Related articles  ,0
2717,2016,330,"[PDF][PDF] A Critical Analysis of Well-being, Consumption and Growth within New York City's OneNYC Plan for a Strong and Just City","S Caputo, A Kukor, N Lapides… - Masters of Science in …, 2016 - commons.clarku.edu","… choice. Social sustainability can save public costs, promote happiness, and can
contribute to the kind of urban vitality, which underpins modern economic
competitiveness. Sustainability and quality of life are inevitably linked … 
",  Related articles All 3 versions  View as HTML ,0
